ParentCode;Code;Name;Position;Description
"STO";"105";"STO.105 - Badener Weg 18";92;"Badener Weg 14-18a, 40667 Meerbusch"
"STO";"106";"STO.106 -  Oberste Gärten 12";93;"Oberste Gärten 12 (2-12), 61350 Bad Homburg"
"STO";"107";"STO.107 - Bodestraße 13";94;"Bodestraße 9-17, 61231 Bad Nauheim"
"STO";"108";"STO.108 -  Neckarstr. 1";95;"Neckarstr. 1, 63128 Dietzenbach"
"STO";"110";"STO.110 -  Bodelschwinghstraße 13 %";96;"Bodelschwinghstraße 13, 61118 Bad Vilbel"
"STO";"111";"STO.111 - Breslauer Straße 15";97;"Breslauer Straße 15+17, 61118 Bad Vilbel"
"STO";"112";"STO.112 -  Mierendorffstraße 23";98;"Mierendorffstraße 23 (17-25), 60320 Frankfurt am Main"
"STO";"113";"STO.113 -  Otto-Fricke-Straße 42";99;"Otto-Fricke-Straße 42,  61118 Bad Vilbel"
"STO";"114";"STO.114 -  Paul-Gerhardt-Straße 1-5";100;"Paul-Gerhardt-Straße 1-5, 61118 Bad Vilbel"
"STO";"115";"STO.115 -  Platz des Friedens 4";101;"Platz des Friedens 4 (2-6), 34225 Baunatal"
"STO";"116";"STO.116 -  Rudolf-Diesel-Straße 21 (wieder ausbauen?)";102;"Rudolf-Diesel-Straße 21 (17-21), 34225 Baunatal"
"STO";"117";"STO.117 -  Theodor-Heuss-Allee 11";103;"Theodor-Heuss-Allee 11 (11+13+15, Schubertstraße 2), 34225 Baunatal"
"STO";"118";"STO.118 -  Stauffenbergstraße 78";104;"Stauffenbergstraße 78, 64283 Darmstadt"
"STO";"119";"STO.119 -  Heinrichstraße 3";105;"Heinrichstraße 3, 64283 Darmstadt"
"STO";"120";"STO.120 -  Landskronstrasse 95a";106;"Landskronstrasse 95a, 64285 Darmstadt"
"STO";"121";"STO.121 -  Riedlinger Straße 29 %";107;"Riedlinger Straße 29, 64283 Darmstadt"
"STO";"124";"STO.124 -  Stauffenbergstr. 89";108;"Stauffenbergstr. 89, 64285 Darmstadt"
"STO";"125";"STO.125 -  Neckarstr. 3";109;"Neckarstr. 3, 63128 Dietzenbach"
"STO";"127";"STO.127 -  Rheinstr. 2";110;"Rheinstr. 2, 63128 Dietzenbach"
"STO";"128";"STO.128 -  Eschersheimer Landstraße 284";111;"Eschersheimer Landstraße, 60320 Frankfurt am Main"
"STO";"131";"STO.131 -  Dr.-Dietz-Straße 18";112;"Dr.-Dietz-Straße 18 (16+18), 36043 Fulda"
"STO";"132";"STO.132 - Pacelliallee 15";113;"Pacelliallee 15 (15-19), 36043 Fulda"
"STO";"133";"STO.133 - Pacelliallee 33";114;"WEZ Pacelliallee 33 (33+35), 36043 Fulda"
"STO";"134";"STO.134 -  Schillerstraße 72";115;"Schillerstraße 72 (72+74+76), 36043 Fulda"
"STO";"135";"STO.135 -  Walahfridstraße 2";116;"Walahfridstraße 2 (2+4), 36043 Fulda"
"STO";"136";"STO.136 -  Im Mittelfeld 14";117;"Im Mittelfeld 10-16, 65462 Gustavsburg"
"STO";"139";"STO.139 -  Adalbert-Stifter-Straße 28";118;"Adalbert-Stifter-Straße 28+30, 36043 Fulda"
"STO";"141";"STO.141 -  Breitscheidstr. 104";119;"Breitscheidstr. 100-104, 34119 Kassel"
"STO";"142";"STO.142 -  Eckermannstraße 27 (27-29)";120;"Eckermannstraße 27 (27-29), 34125 Kassel"
"STO";"150";"STO.150 -  Emmericher Straße 9";121;"Emmericher Straße 9 (5-9, Duisburger Straße 4-8)"
"STO";"151";"STO.151 -  Reeser Straße 7";122;"Reeser Str.7 (Emmericher Straße 6-10, Reeser Straße 7-9)"
"STO";"152";"STO.152 -  Berliner Straße 38 (32+34+36+38)";123;"Berliner Straße 38 (32+34+36+38), 34497 Korbach"
"STO";"153";"STO.153 -  Schlesische Straße 45 (39+41+43+45)";124;"Schlesische Straße 45 (39+41+43+45), 34497 Korbach"
"STO";"154";"STO.154 -  Am Hang 3";125;"Am Hang 3, 34253 Lohfelden"
"STO";"155";"STO.155 - Am Hang 6";126;"Am Hang 6, 34253 Lohfelden"
"STO";"157";"STO.157 -  Maulbeerweg 24";127;"Maulbeerweg 24, Gaszaehler in 22, 63477 Maintal"
"STO";"158";"STO.158 - An der Schanze 13";128;"An der Schanze 13, 35039 Marburg"
"STO";"159";"STO.159 -  An der Schanze 6";129;"An der Schanze 6, 35039 Marburg"
"STO";"160";"STO.160 -  Cappeler Gleiche 14";130;"Cappeler Gleiche 14, Feldbergstraße 6, 35043 Marburg"
"STO";"161";"STO.161 -  Friedrichstr. 33+35+37+39";131;"Friedrichstr. 33+35+37+39, 35037 Marburg"
"STO";"162";"STO.162 -  Ockershäuser Allee 4";132;"Ockershäuser Allee 2-6, 35037 Marburg"
"STO";"163";"STO.163 -  Rollwiesenweg 31";133;"Rollwiesenweg 31, 35037 Marburg (10.30.130.181)"
"STO";"164";"STO.164 -  Moischter Straße 59";134;"Moischter Straße 59, 35043 Marburg-Cappel"
"STO";"165";"STO.165 -  Am Kapittelsbusch 11";135;"Am Kapittelsbusch 11+12+13, Neusser Str. 27+29, 40667 Meerbusch"
"STO";"166";"STO.166 - Frankenweg 1";136;"Frankenweg 1 (1-3), 40667 Meerbusch"
"STO";"167";"STO.167 -  Im  Böhlerhof 4";137;"Im  Böhlerhof 4, 40667 Meerbusch"
"STO";"168";"STO.168 -  Markstr. 13";138;"Markstr. 13 -15, 64409 Messel"
"STO";"173";"STO.173 -  Ernststraße 72";139;"Ernststraße 70-74, 53721 Siegburg"
"STO";"174";"STO.174 - Frankfurter Straße 153";140;"Frankfurter Straße 149-159, 53721 Siegburg"
"STO";"176";"STO.176 -  Dresdener Straße 22";141;"Dresdener Straße 22 (20+22+24), 35260 Stadtallendorf"
"STO";"177";"STO.177 - Langewiesenstraße 20";142;"Langewiesenstraße 20, 35260 Stadtallendorf"
"STO";"180";"STO.180 -  Büchnerstr. 12";143;"Büchnerstr. 10+12, 65187 Wiesbaden"
"STO";"181";"STO.181 -  Büchnerstr. 9";144;"Büchnerstr. 9+11, 65187 Wiesbaden"
"STO";"183";"STO.183 - Käthe-Kollwitz-Straße 15";145;"Käthe-Kollwitz-Straße 15 (11-17), 65191 Wiesbaden"
"STO";"186";"STO.186 -  Buschungsstraße 41 (Hauptsicherung aus)";146;"Buschungsstraße 41 (41+43), 65205 Wiesbaden-Erbenheim"
"STO";"188";"STO.188 -  Mierendorffstraße 9";147;"Mierendorffstraße 9, 60320 Frankfurt am Main"
"STO";"189";"STO.189 -  Marbachweg 250";148;"WEZ Marbachweg 250, 60320 Frankfurt am Main"
"STO";"190";"STO.190 -  Marbachweg 258";149;"WEZ Marbachweg 258, 60320 Frankfurt am Main"
"STO";"191";"STO.191 -  Marbachweg 266";150;"WEZ Marbachweg 266, 60320 Frankfurt am Main"
"STO";"192";"STO.192 -  Marbachweg 282";151;"WEZ Marbachweg 282, 60320 Frankfurt am Main"
"STO";"193";"STO.193 -  Birkholzweg 40";152;"WEZ  Birkholzweg 40, 60433 Frankfurt am Main"
"STO";"194";"STO.194 -  Birkholzweg 44";153;"WEZ Birkholzweg 44, 60433 Frankfurt am Main"
"STO";"195";"STO.195 -  Im Mellsig 15";154;"WEz Im Mellsig 15, 60433 Frankfurt am Main"
"STO";"196";"STO.196 -  Burgstr. 88";155;"WEZ Burgstr. 88, 60389 Frankfurt am Main"
"STO";"197";"STO.197 -  Alexanderstr. 126";156;"WEZ Alexanderstr. 126, 60439 Frankfurt am Main"
"STO";"198";"STO.198 -  Christian-Reul-Straße 31-39";157;"Christian-Reul-Straße 31-39, 34121 Kassel"
"STO";"199";"STO.199 -  Neißeweg 12";158;"Neißeweg 6-20, 34131 Kassel"
"STO";"200";"STO.200 -  Hans-Böckler-Straße 28";159;"Hans-Böckler-Straße 28 , 34121 Kassel"
"STO";"201";"STO.201 -  Ortelsburger Straße 3 (1-7)";160;"Ortelsburger Straße 3 (1-7), 34121 Kassel"
"STO";"202";"STO.202 -  Sternbergstraße 53 (51-53a)";161;"Sternbergstraße 53 (51-53a), 34121 Kassel"
"STO";"203";"STO.203 -  Damaschkeweg 15a";162;"Damaschkeweg 13a + 15a, 35039 Marburg"
"STO";"204";"STO.204 - Hugo-Sinzheimer-Str. 15";163;"Hugo-Sinzheimer-Str. 15, 60327 Frankfurt am Main"
"STO";"205";"STO.205 -  Larsstr. 130";164;"Larsstr. 130 , 53844 Troisdorf"
"STO";"206";"STO.206 -  Bodelschwinghstraße 27";165;"Bodelschwinghstraße 27 (25-29), 61118 Bad Vilbel"
"STO";"207";"STO.207 -  Friedrich-Stengel-Straße 9";166;"Friedrich-Stengel-Straße 3-9, Karl-Philipp-Arnd-Straße 1+3, 36043 Fulda"
"STO";"208";"STO.208 -  Ottfried-von-Weissenburg-Straße 28";167;"Ottfried-von-Weissenburg-Straße 28, 36043 Fulda"
"STO";"209";"STO.209 -  Graudenzer Weg 12 (2-14)";168;"Graudenzer Weg 12 (2-14), 30659 Hannover"
"STO";"170";"STO.170 -  Mühlbergstr. 61";169;"Mühlbergstr. 61, 64319 Pfungstadt"
"STO";"122";"STO.122 -  Smetanaweg 15";170;"Smetanaweg 15, 64291 Darmstadt"
"STO";"006";"STO.006 -  Roseggerstr. 1";171;"WEZ Roseggerstraße  1 (1-5), 40470 Düsseldorf"
"STO";"SOG";"STO.SOG - Anlagen ohne GZ";172;"fertige Systeno-Anlagen ohne funktionierendem Gaszähler"
"STO.SOG";"058";"STO.058 -  Liegnitzer Straße 3 (Teplitz-Schönauer-Straße 6 -10, 10a Liegnitzer Straße 3, 5) %";1;"WEZ Liegnitzer Straße 3 (Teplitz-Schönauer-Straße 6 -10, 10a Liegnitzer Straße 3, 5), 60598 Frankfurt am Main"
"STO.SOG";"070";"STO.070 -  Breitscheidstraße 98 (82+90+98, Riedeselstraße 5) % (Gaszähler zu alt)";2;"WEZ Breitscheidstraße 98 (82+90+98, Riedeselstraße 5), 34119 Kassel"
"STO.SOG";"073";"STO.073 -  Severinstraße 15 (11-15) %";3;"WEZ Severinstraße 15 (11-15), 51145 Köln"
"STO.SOG";"082";"STO.082 -  Am Rain 1";4;"WEZ Am Rain 1, 35039 Marburg"
"STO.SOG";"089";"STO.089 -  Badener Weg 7 (Gaszähler zu alt für Aufschaltung) %";5;"WEZ Badener Weg 7, 40667 Meerbusch"
"STO.SOG";"090";"STO.090 -  Frankenweg 11 (5-15) % (Gaszähler ist ausser Betrieb)";6;"WEZ Frankenweg 11 (5-15), 40667 Meerbusch"
"STO.SOG";"123";"STO.123 -  Wechslerstraße 2 %";7;"Wechslerstraße 2, 64291 Darmstadt"
"STO.SOG";"129";"STO.129 -  Im Mühlfeld 11a";8;"Im Mühlfeld 11a, 61169 Friedberg"
"STO.SOG";"130";"STO.130 - Am Kleegarten 25 (Gaszähler zu alt zum Aufschalten oder Reedkontakt fehlt nur einfach)";9;"Am Kleegarten 25 (21-33), 36043 Fulda"
"STO.SOG";"137";"STO.137 -  Bahnhofstraße 7b";10;"Bahnhofstraße 7a-c, 35708 Haiger"
"STO.SOG";"138";"STO.138 -  Rühlstraße 5 und 6 %";11;"Rühlstraße 5 und 6, 63450 Hanau"
"STO.SOG";"140";"STO.140 -  Baunsbergstraße 1 %";12;"Baunsbergstraße 1+3+5, 34131 Kassel"
"STO.SOG";"143";"STO.143 -  Fontanestraße 1 %";13;"Fontanestraße 1, 34125 Kassel"
"STO.SOG";"145";"STO.145 -  Sternbergstraße 23 %";14;"Sternbergstraße 21+23+25, 34121 Kassel"
"STO.SOG";"146";"STO.146 -  Sternbergstraße 47 %";15;"Sternbergstraße 45+47+49+49a, 34121 Kassel"
"STO.SOG";"149";"STO.149 -  Wilhelmshöher Allee 266 %";16;"Wilhelmshöher Allee 264 + 266, 34131 Kassel"
"STO.SOG";"156";"STO.156 -  Friedrich-Ebert-Ring 35 %";17;"Friedrich-Ebert-Ring 35 (33+35+37+39+41), 34253 Lohfelden"
"STO.SOG";"172";"STO.172 -  Aulgasse 34-38";18;"Aulgasse 34-38, 53721 Siegburg"
"STO.SOG";"178";"STO.178 -  Kerpstraße 1-5 %";19;"Kerpstraße 1-5, Larstraße 120-124, 53844 Troisdorf"
"STO.SOG";"179";"STO.179 -  Harleshäuser Straße 32 %";20;"Harleshäuser Straße 32, 34246 Vellmar"
"STO.SOG";"182";"STO.182 -  Hessenring 23a, Lessingweg 67 %";21;"Hessenring 23a, Lessingstraße 67, 65205 Wiesbaden"
